image_id,image_filename,image_doi,label
6,d1139b2167d9254c2e29edb485c1bda8.png,10.6084/m9.figshare.12229532,1
149,4dbb52e87bc98d0d5a10cc0dc05fdc3f.png,10.6084/m9.figshare.12230057,0
190,e6b13ffc7b9ba7170133da814ce6aa51.png,10.6084/m9.figshare.12230189,1
400,9ae8a4edde40219bad6303cebc672ee4.png,10.6084/m9.figshare.12230906,1
305,30cef53c58d14524f9d49e24af9887fa.png,10.6084/m9.figshare.12230576,1
127,c22f24fa5dc7c8d99c2d2ba5e293960c.png,10.6084/m9.figshare.12229973,0
257,3b536324e212ad03ae37afcf97d0c760.png,10.6084/m9.figshare.12230426,1
95,9b77f6a1b82859bc68b26fae965564fa.png,10.6084/m9.figshare.12229820,1
232,75d04c5e7ddcdf002714f7ef57d4e418.png,10.6084/m9.figshare.12230339,1
288,00b1e59ebc3e7be500ef7548207d44e2.png,10.6084/m9.figshare.12230525,1
82,dd61f345bc7cdcbf3bb86d58eb0992b4.png,10.6084/m9.figshare.12229778,1
261,6a8631b14ebfd221bad8b5238cf7dd03.png,10.6084/m9.figshare.12230441,1
89,4bdf1fe55c86e3fd82c022a744de5958.png,10.6084/m9.figshare.12229799,1
135,8d62bc0267b58954ef9fa8e355d6ec22.png,10.6084/m9.figshare.12230006,0
382,6cdee50089fd0f8937732789776cd025.png,10.6084/m9.figshare.12230828,1
306,8c21e0dc6b8fbeddfd6f9923b4b1054c.png,10.6084/m9.figshare.12230579,1
28,c5a3e789e449a8123509be5fd671b6b2.png,10.6084/m9.figshare.12229607,0
361,8fd47c55033c1488a851a6660cc24f3a.png,10.6084/m9.figshare.12230759,1
214,85b6a7b08f5f5820a20b582046a7d7a9.png,10.6084/m9.figshare.12230267,1
225,fcc9c7e2fc1a0f4d30fa745308d15194.png,10.6084/m9.figshare.12230312,1
197,7275dd2f91a0dbb6e49b28da3f456c57.png,10.6084/m9.figshare.12230213,1
332,fb5e83755f682922aee859fd52013c36.png,10.6084/m9.figshare.12230660,1
58,c7d215de538362b06b7ae3a0d70eb0e4.png,10.6084/m9.figshare.12229700,1
48,c7c3f56a4d110b49099830b0f65251a3.png,10.6084/m9.figshare.12229670,1
154,49c8feec9afcd85f1f9b16908c34bdca.png,10.6084/m9.figshare.12230072,0
